user,district,is_industrial,timeslot,power,bill,seed
0,0,0,62,974,1948,1634280807
1,1,1,62,12960,25920,2075760122
2,2,0,62,843,1686,817722579
3,3,0,62,1913,3826,1182300232
4,4,0,62,156,312,220122845
5,5,1,62,13960,27920,1560656868
6,6,0,62,545,1090,519828521
7,7,0,62,1486,2972,145712783
8,8,0,62,1702,3404,934131476
9,9,0,62,151,302,464064263
10,10,0,62,998,1996,1311600773
11,11,1,62,5750,11500,1255137595
12,12,0,62,594,1188,572441103
13,13,0,62,1855,3710,1243711772
15,15,0,62,1753,3506,1389897815
17,17,1,62,17990,35980,1872766488
18,18,0,62,1966,3932,1766163244
19,19,0,62,232,464,1210164989
20,20,0,62,1962,3924,1254723777
21,21,1,62,13550,27100,1745904222
22,22,0,62,670,1340,458307396
23,23,0,62,245,490,731582734
24,24,0,62,20,40,834197589
25,25,1,62,12130,24260,814526591
26,26,0,62,427,854,1535475372
28,28,0,62,1285,2570,637111550
29,29,1,62,4380,8760,1513890198
30,30,1,62,9880,19760,1400709849
31,31,0,62,352,704,319625923
32,32,0,62,1421,2842,2045281771
33,33,0,62,1210,2420,1605422386
34,34,0,62,651,1302,192720456
35,35,1,62,5070,10140,283200122
36,36,0,62,671,1342,2046781760
37,37,1,62,5940,11880,2086942835
38,38,0,62,1434,2868,2073472114
39,39,0,62,1773,3546,1639828585
40,40,1,62,17720,35440,1258568639
41,41,1,62,4940,9880,857540245
42,42,1,62,13940,27880,1308595579
43,43,0,62,1675,3350,1361791886
44,44,0,62,813,1626,132219734
45,45,0,62,854,1708,1397095321
47,47,0,62,495,990,618560728
48,48,0,62,1050,2100,1272329346
49,49,1,62,15830,31660,973745461
50,50,0,62,1240,2480,1057661757
51,51,0,62,597,1194,1480011308
52,52,0,62,1054,2108,1533573550
53,53,0,62,1188,2376,1715416447
54,54,0,62,1943,3886,1269202436
55,55,0,62,566,1132,317410154
56,56,0,62,505,1010,903927783
58,58,0,62,1781,3562,977135217
59,59,0,62,53,106,254480912
60,60,0,62,481,962,224553461
61,61,0,62,1091,2182,2132073171
62,62,1,62,2480,4960,166696507
63,63,0,62,568,1136,1506410843
64,64,0,62,1459,2918,2019513422
65,65,0,62,198,396,2036572233
66,66,0,62,681,1362,481042073
67,67,0,62,257,514,2002970058
68,68,1,62,7460,14920,1139740602
69,69,0,62,1949,3898,1682054792
70,70,0,62,643,1286,778924927
71,71,1,62,2630,5260,1205495466
72,72,1,62,18980,37960,584015055
73,73,0,62,884,1768,824770718
74,74,0,62,271,542,927916579
75,75,0,62,902,1804,2064935682
76,76,0,62,1794,3588,56669790
77,77,0,62,1637,3274,915737293
78,78,1,62,6230,12460,7338869
79,79,0,62,1357,2714,741003906
81,81,1,62,19540,39080,1188528913
82,82,0,62,937,1874,1512835811
83,83,0,62,969,1938,734917297
84,84,0,62,1792,3584,1971845510
85,85,0,62,673,1346,1191937686
86,86,0,62,500,1000,643364480
87,87,1,62,14520,29040,1450370876
88,88,0,62,1540,3080,440668915
89,89,0,62,292,584,1717988811
90,90,0,62,1673,3346,1738921420
91,91,0,62,814,1628,933899322
92,92,0,62,1793,3586,2023585057
93,93,0,62,1866,3732,2018460104
94,94,0,62,1080,2160,1959179429
95,95,1,62,18520,37040,1532958705
96,96,0,62,33,66,1017252458
97,97,0,62,1311,2622,739154412
98,98,0,62,35,70,662616662
99,99,0,62,434,868,186610485
