user,timeslot,power,seed
0,2,1288,572115982
1,2,13873,342426550
2,2,3630,1917814699
3,2,18024,892367467
4,2,13396,1032223180
5,2,10245,1827555999
6,2,10300,1610594846
7,2,8389,648616990
0,3,7081,1071566603
1,3,17483,12070929
2,3,16498,1188400555
3,3,14235,278798857
4,3,9995,1743749649
5,3,15010,1822733654
6,3,7348,346861986
7,3,6968,609833905
0,5,7629,1004565056
1,5,2321,109271977
2,5,17084,1815431843
3,5,5358,217513325
4,5,6379,1172469862
5,5,9555,1119733038
6,5,4897,584933960
7,5,1892,718398650
0,7,10523,979845281
1,7,18154,1535794425
2,7,4485,1144818933
3,7,16884,108421916
4,7,4102,958683802
5,7,1203,1671173220
6,7,7850,1474559224
7,7,19709,1041456196
0,10,9827,717452289
1,10,4112,1497350970
2,10,4026,1201949030
3,10,12906,308225701
4,10,3571,1960919026
5,10,18442,1129512746
6,10,3671,801840407
7,10,1380,534830814
0,12,10715,1195424760
1,12,11349,389411078
2,12,8340,208127049
3,12,2838,735681632
4,12,6729,501507470
5,12,15922,167202600
6,12,8599,1136383836
7,12,1723,1258735263
0,13,14170,387136811
1,13,3050,342467995
2,13,17330,249232726
3,13,1152,2087597166
4,13,19538,844208105
5,13,13705,758656605
6,13,18718,895845986
7,13,8456,183293529
0,14,15739,246303845
1,14,12096,609914261
2,14,7439,752783360
3,14,6123,2079184052
4,14,17880,1919299603
5,14,145,187874686
6,14,5259,1600899515
7,14,11343,840383475
0,16,14497,606463340
1,16,17549,499389696
2,16,11940,516398776
3,16,7991,2146755272
4,16,11001,159129007
5,16,7506,1478773403
6,16,19013,1003449673
7,16,16440,1633751256
0,18,11888,797454641
1,18,8077,898099059
2,18,9142,2128534466
3,18,19991,410256975
4,18,3714,328971410
5,18,12064,929790769
6,18,6546,1270527048
7,18,17342,783662284
0,31,6978,1600262534
1,31,17722,2016078581
2,31,1359,804812616
3,31,14237,1167914353
4,31,10541,1781199205
5,31,7928,1301975908
6,31,3501,583273651
7,31,12406,942686149
