epoch,timecost,storagecost
0,0.169782,36318
1,0.111732,96038
6,0.112776,571118
11,0.116099,1237974
16,0.118731,2442334
21,0.121270,3013302
26,0.124024,3900970
31,0.126966,4788634
36,0.129603,6888862
41,0.132117,7741662
46,0.134645,8582842
51,0.136977,10012862
56,0.139702,11241454
61,0.142642,12253070
66,0.146251,17214886
71,0.149633,17881738
76,0.153488,18862382
81,0.157064,20338894
86,0.159777,21180058
91,0.162830,22362158
96,0.165644,25536778
101,0.168373,26296586
106,0.170897,27478678
111,0.173720,28660762
116,0.176345,30627994
121,0.179354,32140662
126,0.182264,33632666
131,0.185416,45586138
136,0.188540,46508678
141,0.191308,47268494
146,0.194218,48744998
151,0.197159,49632666
156,0.199996,50938742
161,0.202959,53908022
166,0.205977,54749182
171,0.208809,55931286
176,0.211434,58068958
181,0.214282,59080586
186,0.217040,60655238
191,0.219992,62229886
196,0.222800,68554926
201,0.225429,69690506
206,0.228288,70810606
211,0.231306,72715838
216,0.234258,74352494
221,0.237119,75699854
226,0.239782,79595470
231,0.243178,80777546
236,0.246173,82517514
241,0.249022,85139002
246,0.251710,86630982
251,0.254242,88729070
256,0.257297,120633734
261,0.260081,121204686
266,0.262904,122092350
271,0.265865,122980014
276,0.268749,124456542
281,0.271800,125592138
286,0.274697,126712238
291,0.277711,129526574
296,0.280572,130755146
301,0.283455,131766762
306,0.286218,133733990
311,0.289138,134916078
316,0.291936,136656046
321,0.294696,143378766
326,0.297585,144219950
331,0.300610,145402030
336,0.303514,147539706
341,0.306525,148551334
346,0.309587,150125994
351,0.312468,151700638
356,0.315158,155430958
361,0.318006,156943626
366,0.320814,158435630
371,0.323497,160974470
376,0.326401,163155210
381,0.329572,164950218
386,0.332444,181188038
391,0.335322,182075718
396,0.338193,183381786
401,0.340898,185348990
406,0.343752,186469078
411,0.346527,188043742
416,0.349281,192275102
421,0.352136,193286710
426,0.354946,194861370
431,0.357864,196436014
436,0.360711,199057518
441,0.363569,201072938
446,0.366706,203060822
451,0.369773,211623562
456,0.372119,213260206
461,0.374777,214607562
466,0.377539,217229050
471,0.380435,218803702
476,0.383296,221122190
481,0.386139,226397494
486,0.388986,227889470
491,0.391807,229987562
496,0.394701,233784454
