epoch,timecost,storagecost
0,0.217056,36318
1,0.128188,96038
2,0.121719,175358
3,0.122667,254686
4,0.119183,386318
5,0.118271,465642
6,0.117788,571118
7,0.117310,676598
8,0.117206,947694
9,0.117087,1027018
10,0.116230,1132494
11,0.116077,1237974
12,0.115570,1413190
13,0.115296,1518654
14,0.115124,1659002
15,0.114554,1799342
16,0.114588,2442334
17,0.114578,2521662
18,0.114538,2627134
19,0.114487,2732614
20,0.114137,2907830
21,0.114060,3013302
22,0.114083,3153642
23,0.113870,3293982
24,0.113761,3655158
25,0.113662,3760630
26,0.113534,3900970
27,0.113514,4041310
28,0.113381,4274638
29,0.113364,4414970
30,0.113379,4601806
31,0.113399,4788634
32,0.113455,6423374
33,0.113388,6502698
34,0.113295,6608174
35,0.113175,6713662
36,0.113206,6888862
37,0.113104,6994334
38,0.113053,7134678
39,0.112978,7275018
40,0.113069,7636190
41,0.113085,7741662
42,0.112991,7882006
43,0.112945,8022346
44,0.112967,8255674
45,0.112984,8396006
46,0.112947,8582842
47,0.112817,8769670
48,0.112691,9626702
49,0.112727,9732190
50,0.112682,9872518
51,0.112666,10012862
52,0.112687,10246190
53,0.112633,10386526
54,0.112584,10573354
55,0.112657,10760190
56,0.112694,11241454
57,0.112763,11381790
58,0.112829,11568618
59,0.112890,11755454
60,0.112805,12066266
61,0.112838,12253070
62,0.112966,12501894
63,0.112975,12750702
64,0.112947,17030086
65,0.112898,17109406
66,0.112887,17214886
67,0.112891,17320366
68,0.112902,17495582
69,0.112938,17601054
70,0.112898,17741398
71,0.112879,17881738
72,0.112840,18242894
73,0.112849,18348366
74,0.112773,18488710
75,0.112768,18629054
76,0.112783,18862382
77,0.112794,19002710
78,0.112789,19189546
79,0.112768,19376374
80,0.112745,20233414
81,0.112766,20338894
82,0.112724,20479226
83,0.112721,20619566
84,0.112666,20852894
85,0.112589,20993230
86,0.112580,21180058
87,0.112545,21366894
88,0.112572,21848158
89,0.112615,21988494
90,0.112619,22175322
91,0.112645,22362158
92,0.112648,22672970
93,0.112627,22859774
94,0.112602,23108602
95,0.112578,23357406
96,0.112591,25536778
97,0.112561,25642250
98,0.112565,25782590
99,0.112563,25922942
100,0.112562,26156250
