epoch,timecost,storagecost
0,0.187249,824682
1,0.140639,2185502
2,0.136777,3989078
3,0.136349,5827266
4,0.135436,8887282
5,0.135645,10789382
6,0.135342,13295962
7,0.137592,15793690
8,0.138582,22156646
9,0.138539,23949630
10,0.138212,26438718
11,0.138018,28971906
12,0.137971,33150694
13,0.137556,35662558
14,0.136871,38902606
15,0.136690,42194782
16,0.136556,57343634
17,0.136496,59240374
18,0.136483,61787790
19,0.136343,64306862
20,0.136026,68430926
21,0.135813,70850694
22,0.135586,74074306
23,0.135398,77345130
24,0.135230,85846882
25,0.135184,88309162
26,0.135185,91617790
27,0.135227,94983118
28,0.135159,100510786
29,0.134920,103658806
30,0.134946,108070806
31,0.134788,112378878
32,0.135236,150893766
33,0.134984,152694646
34,0.135193,155215570
35,0.135065,157699066
36,0.135001,161839866
37,0.135057,164309214
38,0.135120,167684066
39,0.135113,171030418
40,0.135162,179646322
41,0.135058,182101454
42,0.135059,185428946
43,0.135049,188680846
44,0.135365,194110766
45,0.135345,197409962
46,0.135155,201626658
47,0.135160,205900118
48,0.135134,226053174
49,0.135095,228515458
50,0.135023,231767318
51,0.134992,235047722
52,0.134901,240443122
53,0.134969,243855754
54,0.134862,248147974
55,0.134966,252396322
56,0.135577,263677050
57,0.135551,266985806
58,0.135614,271460698
59,0.135677,275856786
60,0.135691,283169638
61,0.135730,287578322
62,0.135713,293403386
63,0.136361,299094142
64,0.136654,399710226
65,0.136878,401532402
66,0.137091,403916630
67,0.137084,406414430
68,0.137077,410548294
69,0.137191,412975026
70,0.137320,416179570
71,0.137194,419318118
72,0.137157,427720886
73,0.137161,430254050
74,0.137161,433657150
75,0.137180,436890094
76,0.137110,442386134
77,0.137118,445742174
78,0.137141,450176222
79,0.137185,454663662
80,0.137166,474761830
81,0.137216,477302198
82,0.137223,480686426
83,0.137143,483994934
84,0.137072,489519326
85,0.136974,492771374
86,0.137090,497208514
87,0.137032,501654942
88,0.137038,513196710
89,0.137020,516637558
90,0.136985,521184638
91,0.137046,525580694
92,0.136988,533037246
93,0.136905,537360942
94,0.136844,543199106
95,0.136749,548898394
96,0.136993,600405766
97,0.136921,602875094
98,0.136947,606193166
99,0.137057,609596310
100,0.137005,615120746
