epoch,timecost,storagecost
0,0.194558,987806
1,0.134264,2505266
2,0.158950,4587142
3,0.148912,6637838
4,0.143379,10006358
5,0.140205,11981438
6,0.137692,14600478
7,0.142314,17349210
8,0.141036,24405342
9,0.140090,26539250
10,0.139006,29290850
11,0.138442,32134074
12,0.137960,36810750
13,0.137511,39609210
14,0.137017,43321434
15,0.136694,47057990
16,0.135872,63821406
17,0.135522,65876518
18,0.135954,68584998
19,0.135862,71246502
20,0.135566,75724126
21,0.135519,78552374
22,0.135310,82140026
23,0.138716,85869462
24,0.138563,95244590
25,0.138749,98129006
26,0.138590,101850930
27,0.138823,105572886
28,0.138546,111747234
29,0.138271,115289222
30,0.138232,120206282
31,0.138154,125126982
32,0.138051,167945766
33,0.138141,170042094
34,0.138307,172836134
35,0.138682,175669846
36,0.138988,180248614
37,0.139465,183097182
38,0.139726,186716294
39,0.140066,190367354
40,0.140175,199798238
41,0.140400,202443410
42,0.140559,205967286
43,0.140534,209586362
44,0.140331,215432502
45,0.140183,219043126
46,0.140199,223919542
47,0.140012,228892058
48,0.139806,251210858
49,0.139616,253975558
50,0.139437,257677382
51,0.139307,261355746
52,0.139261,267626186
53,0.139126,271456438
54,0.142069,276425786
55,0.141996,281392926
56,0.141947,294068870
57,0.141795,297747742
58,0.141515,302475702
59,0.141940,307076670
60,0.142474,315033474
61,0.142365,320092830
62,0.142297,326797646
63,0.142350,333183278
64,0.142361,445309846
65,0.142572,447449406
66,0.142614,450226322
67,0.142573,452900914
68,0.142633,457517958
69,0.142933,460414862
70,0.143096,464123142
71,0.143072,467791618
72,0.143076,477326998
73,0.142966,480141402
74,0.142878,483856382
75,0.142750,487567514
76,0.142567,493683298
77,0.142502,497482818
78,0.142357,502318014
79,0.142423,507221878
80,0.142315,529944542
81,0.142230,532835750
82,0.142075,536476366
83,0.141924,540129318
84,0.141978,546333086
85,0.141891,550065198
86,0.141782,555016622
87,0.141631,559863434
88,0.141573,572745650
89,0.141456,576393542
90,0.141381,581455478
91,0.141283,586491234
92,0.141186,594863682
93,0.141164,599598054
94,0.141053,606172402
95,0.140944,612677298
96,0.140828,670467934
97,0.140858,673211054
98,0.140861,676958210
99,0.140758,680657558
100,0.140861,686912342
