epoch,timecost,bandwidthcost
0,0.011175,0.004768
1,0.009191,0.004721
2,0.010056,0.005069
3,0.010470,0.005216
4,0.010226,0.005147
5,0.010076,0.005104
6,0.010285,0.005211
7,0.010599,0.004922
8,0.010467,0.004917
9,0.010573,0.005001
10,0.010262,0.004989
11,0.010585,0.005062
12,0.010811,0.004979
13,0.010635,0.004908
14,0.010503,0.004918
15,0.010575,0.004895
16,0.010630,0.004894
17,0.010721,0.004941
18,0.010868,0.004891
19,0.010892,0.004880
20,0.010893,0.004884
21,0.010919,0.004888
22,0.011008,0.004935
23,0.011025,0.004924
24,0.011158,0.004965
25,0.011083,0.004966
26,0.011088,0.004970
27,0.011021,0.004935
28,0.011064,0.004939
29,0.011134,0.004967
30,0.011019,0.004941
31,0.011077,0.004963
32,0.011028,0.004931
33,0.011027,0.004928
34,0.011091,0.004949
35,0.010925,0.004892
36,0.010957,0.004894
37,0.010977,0.004896
38,0.010940,0.004901
39,0.010885,0.004898
40,0.010856,0.004876
41,0.010928,0.004855
42,0.010963,0.004860
43,0.010996,0.004863
44,0.011030,0.004867
45,0.011020,0.004872
46,0.011055,0.004878
47,0.011052,0.004878
48,0.011044,0.004880
49,0.011058,0.004881
50,0.011142,0.004904
51,0.011188,0.004919
52,0.011175,0.004922
53,0.011184,0.004908
54,0.011193,0.004909
55,0.011182,0.004910
56,0.011230,0.004925
57,0.011225,0.004928
58,0.011196,0.004931
59,0.011236,0.004945
60,0.011250,0.004949
61,0.011277,0.004953
62,0.011260,0.004942
63,0.011263,0.004938
64,0.011316,0.004951
65,0.011388,0.004965
66,0.011390,0.004965
67,0.011430,0.004964
68,0.011462,0.004964
69,0.011503,0.004937
70,0.011541,0.004936
71,0.011588,0.004948
72,0.011581,0.004947
73,0.011594,0.004947
74,0.011617,0.004936
75,0.011640,0.004937
76,0.011671,0.004938
77,0.011695,0.004940
78,0.011724,0.004941
79,0.011731,0.004940
80,0.011767,0.004952
81,0.011841,0.004964
82,0.011897,0.004977
83,0.011904,0.004977
84,0.011908,0.004966
85,0.011946,0.004978
86,0.011955,0.004980
87,0.011954,0.004980
88,0.011994,0.004991
89,0.012044,0.005002
90,0.012092,0.005012
91,0.012097,0.005012
92,0.012116,0.005014
93,0.012109,0.005015
94,0.012108,0.005017
95,0.012115,0.005015
96,0.012153,0.005024
97,0.012173,0.005021
98,0.012230,0.005032
99,0.012239,0.005031
