epoch,timecost,bandwidthcost
0,0.183248,0.124935
1,0.187210,0.135611
2,0.185504,0.145875
3,0.184403,0.153059
4,0.184840,0.155725
5,0.186703,0.162249
6,0.186716,0.170740
7,0.187157,0.175942
8,0.187411,0.174880
9,0.188195,0.176879
10,0.188657,0.180953
11,0.189346,0.185260
12,0.189881,0.188061
13,0.190138,0.193175
14,0.190515,0.199990
15,0.191004,0.203907
16,0.191504,0.201700
17,0.192039,0.201320
18,0.192503,0.202391
19,0.193214,0.203903
20,0.194291,0.204749
21,0.195248,0.207244
22,0.195963,0.211077
23,0.196522,0.214071
24,0.197337,0.214375
25,0.198150,0.216116
26,0.198856,0.219052
27,0.199560,0.222300
28,0.199973,0.224820
29,0.200723,0.228859
30,0.201496,0.234176
31,0.201964,0.237163
32,0.202260,0.235018
33,0.202981,0.233837
34,0.203839,0.233490
35,0.208097,0.233466
36,0.209526,0.233147
37,0.210175,0.233844
38,0.210719,0.235422
39,0.211457,0.236610
40,0.212467,0.236245
41,0.212928,0.236802
42,0.213492,0.238165
43,0.213891,0.239797
44,0.214160,0.241032
45,0.214486,0.243314
46,0.215047,0.246513
47,0.215341,0.248670
48,0.215512,0.248119
49,0.215877,0.248349
50,0.216460,0.249271
51,0.217205,0.250439
52,0.217991,0.251286
53,0.218437,0.253040
54,0.219081,0.255597
55,0.219566,0.257766
56,0.219980,0.258426
57,0.220429,0.259936
58,0.220917,0.262202
59,0.221479,0.264718
60,0.221989,0.266832
61,0.222539,0.269966
62,0.223076,0.274010
63,0.223555,0.276278
64,0.223887,0.274587
65,0.224522,0.273379
66,0.225066,0.272608
67,0.225547,0.272020
68,0.226124,0.271290
69,0.226529,0.271124
70,0.226948,0.271465
71,0.227474,0.271625
72,0.228072,0.270940
73,0.228835,0.270788
74,0.229566,0.271116
75,0.230225,0.271627
76,0.230893,0.271935
77,0.231539,0.272885
78,0.232115,0.274414
79,0.232849,0.275359
80,0.233436,0.274696
81,0.233914,0.274512
82,0.234352,0.274764
83,0.234815,0.275183
84,0.235273,0.275420
85,0.235723,0.276241
86,0.236226,0.277591
87,0.236750,0.278721
88,0.237223,0.278908
89,0.237638,0.279654
90,0.238276,0.280907
91,0.238901,0.282344
92,0.239524,0.283541
93,0.240050,0.285430
94,0.240577,0.287949
95,0.241069,0.289528
96,0.241437,0.288828
97,0.241872,0.288530
98,0.242303,0.288599
99,0.242810,0.288813
