epoch,timecost,bandwidthcost
0,0.187965,0.124935
1,0.186212,0.135611
2,0.185357,0.145875
3,0.184517,0.153059
4,0.185160,0.155725
5,0.186046,0.162249
6,0.186093,0.170740
7,0.186880,0.175942
8,0.187151,0.174880
9,0.187664,0.176879
10,0.188501,0.180953
11,0.189127,0.185260
12,0.189621,0.188061
13,0.189916,0.193175
14,0.190560,0.199990
15,0.191548,0.203907
16,0.192232,0.201700
17,0.193393,0.201320
18,0.193954,0.202391
19,0.194917,0.203903
20,0.196033,0.204749
21,0.196640,0.207244
22,0.197116,0.211077
23,0.197573,0.214071
24,0.198860,0.214375
25,0.200025,0.216116
26,0.201124,0.219052
27,0.201846,0.222300
28,0.202633,0.224820
29,0.203619,0.228859
30,0.204633,0.234176
31,0.205397,0.237163
32,0.205925,0.235018
33,0.206748,0.233837
34,0.207707,0.233490
35,0.208522,0.233466
36,0.209125,0.233147
37,0.209829,0.233844
38,0.210639,0.235422
39,0.211552,0.236610
40,0.212471,0.236245
41,0.213235,0.236802
42,0.214292,0.238165
43,0.215050,0.239797
44,0.215451,0.241032
45,0.215747,0.243314
46,0.216235,0.246513
47,0.216548,0.248670
48,0.216760,0.248119
49,0.217118,0.248349
50,0.217521,0.249271
51,0.217996,0.250439
52,0.218728,0.251286
53,0.219325,0.253040
54,0.220007,0.255597
55,0.220437,0.257766
56,0.220852,0.258426
57,0.221330,0.259936
58,0.221798,0.262202
59,0.222296,0.264718
60,0.222760,0.266832
61,0.223212,0.269966
62,0.223745,0.274010
63,0.224227,0.276278
64,0.224581,0.274587
65,0.225079,0.273379
66,0.225420,0.272608
67,0.225779,0.272020
68,0.226246,0.271290
69,0.226709,0.271124
70,0.227091,0.271465
71,0.227539,0.271625
72,0.228052,0.270940
73,0.228536,0.270788
74,0.229057,0.271116
75,0.229508,0.271627
76,0.229977,0.271935
77,0.230486,0.272885
78,0.230990,0.274414
79,0.231509,0.275359
80,0.232035,0.274696
81,0.232670,0.274512
82,0.233175,0.274764
83,0.234258,0.275183
84,0.235437,0.275420
85,0.235910,0.276241
86,0.236440,0.277591
87,0.236952,0.278721
88,0.237364,0.278908
89,0.237840,0.279654
90,0.238277,0.280907
91,0.238783,0.282344
92,0.239276,0.283541
93,0.239782,0.285430
94,0.240312,0.287949
95,0.240788,0.289528
96,0.241256,0.288828
97,0.241706,0.288530
98,0.242210,0.288599
99,0.242752,0.288813
