epoch,timecost,bandwidthcost
0,0.187855,0.124935
1,0.189323,0.135611
2,0.189682,0.145875
3,0.208294,0.153059
4,0.218993,0.155725
5,0.217288,0.162249
6,0.218298,0.170740
7,0.216817,0.175942
8,0.214619,0.174880
9,0.222017,0.176879
10,0.225106,0.180953
11,0.224672,0.185260
12,0.224336,0.188061
13,0.224642,0.193175
14,0.223253,0.199990
15,0.222552,0.203907
16,0.221993,0.201700
17,0.220932,0.201320
18,0.219817,0.202391
19,0.219369,0.203903
20,0.219442,0.204749
21,0.219067,0.207244
22,0.218572,0.211077
23,0.218050,0.214071
24,0.217583,0.214375
25,0.217856,0.216116
26,0.218114,0.219052
27,0.217767,0.222300
28,0.217570,0.224820
29,0.217780,0.228859
30,0.217941,0.234176
31,0.217827,0.237163
32,0.217557,0.235018
33,0.217524,0.233837
34,0.217919,0.233490
35,0.218053,0.233466
36,0.218091,0.233147
37,0.218208,0.233844
38,0.218409,0.235422
39,0.218588,0.236610
40,0.218786,0.236245
41,0.219264,0.236802
42,0.219578,0.238165
43,0.220043,0.239797
44,0.220523,0.241032
45,0.221108,0.243314
46,0.221663,0.246513
47,0.222101,0.248670
48,0.222225,0.248119
49,0.222564,0.248349
50,0.222789,0.249271
51,0.223169,0.250439
52,0.223401,0.251286
53,0.223607,0.253040
54,0.223919,0.255597
55,0.224278,0.257766
56,0.224650,0.258426
57,0.224992,0.259936
58,0.225400,0.262202
59,0.225853,0.264718
60,0.226286,0.266832
61,0.226677,0.269966
62,0.227171,0.274010
63,0.227614,0.276278
64,0.228098,0.274587
65,0.228635,0.273379
66,0.228920,0.272608
67,0.229183,0.272020
68,0.229670,0.271290
69,0.230233,0.271124
70,0.230708,0.271465
71,0.231126,0.271625
72,0.231503,0.270940
73,0.231933,0.270788
74,0.232361,0.271116
75,0.232762,0.271627
76,0.233145,0.271935
77,0.233606,0.272885
78,0.234041,0.274414
79,0.234514,0.275359
80,0.234939,0.274696
81,0.235326,0.274512
82,0.235743,0.274764
83,0.236211,0.275183
84,0.236768,0.275420
85,0.237348,0.276241
86,0.237952,0.277591
87,0.238449,0.278721
88,0.238819,0.278908
89,0.239274,0.279654
90,0.239697,0.280907
91,0.240106,0.282344
92,0.240509,0.283541
93,0.240964,0.285430
94,0.241638,0.287949
95,0.242322,0.289528
96,0.242793,0.288828
97,0.243215,0.288530
98,0.243606,0.288599
99,0.244075,0.288813
