epoch,timecost,bandwidthcost
0,4.728169,1.769079
1,4.720266,1.780141
2,4.721290,1.790510
3,4.719802,1.797350
4,4.722282,1.799997
5,4.743286,1.806650
6,4.806592,1.815241
7,4.815078,1.820525
8,4.841239,1.819327
9,4.848710,1.821399
10,4.838757,1.825673
11,4.830832,1.830145
12,4.824480,1.833024
13,4.823295,1.838085
14,4.820682,1.844833
15,4.816056,1.848801
16,4.811671,1.846559
17,4.807986,1.846095
18,4.806513,1.847184
19,4.803723,1.848766
20,4.802111,1.849668
21,4.799572,1.852128
22,4.798586,1.855964
23,4.796648,1.858958
24,4.795050,1.859270
25,4.793191,1.861095
26,4.791797,1.864001
27,4.790269,1.867185
28,4.789200,1.869684
29,4.788341,1.873740
30,4.787528,1.879033
31,4.786280,1.881931
32,4.785400,1.879767
33,4.784878,1.878604
34,4.784878,1.878298
35,4.784582,1.878333
36,4.793820,1.878018
37,4.796784,1.878695
38,4.798824,1.880276
39,4.801247,1.881466
40,4.804170,1.881127
41,4.805808,1.881692
42,4.807696,1.883064
43,4.808223,1.884724
44,4.809155,1.885904
45,4.809064,1.888114
46,4.808324,1.891302
47,4.807455,1.893443
48,4.807244,1.892862
49,4.806783,1.893082
50,4.806704,1.894013
51,4.808996,1.895210
52,4.808926,1.896066
53,4.811251,1.897824
54,4.813816,1.900405
55,4.813340,1.902581
56,4.814378,1.903263
57,4.815825,1.904779
58,4.817488,1.907048
59,4.818712,1.909596
60,4.819360,1.911739
61,4.819020,1.914874
62,4.820743,1.918906
63,4.820998,1.921176
64,4.822501,1.919503
65,4.827011,1.918314
66,4.829508,1.917558
67,4.829384,1.916970
68,4.834266,1.916241
69,4.836317,1.916074
70,4.836052,1.916405
71,4.835611,1.916565
72,4.835010,1.915893
73,4.834634,1.915741
74,4.835249,1.916061
75,4.835092,1.916577
76,4.836102,1.916898
77,4.835776,1.917859
78,4.835344,1.919378
79,4.835028,1.920327
80,4.834658,1.919677
81,4.834152,1.919496
82,4.833851,1.919750
83,4.833460,1.920173
84,4.833320,1.920415
85,4.832971,1.921227
86,4.832821,1.922579
87,4.832908,1.923711
88,4.832664,1.923889
89,4.832575,1.924625
90,4.833399,1.925868
91,4.833020,1.927307
92,4.833060,1.928497
93,4.832899,1.930368
94,4.833193,1.932877
95,4.833028,1.934466
96,4.832922,1.933788
97,4.832664,1.933500
98,4.832312,1.933569
99,4.832105,1.933775
