epoch,timecost,bandwidthcost
0,4.695539,1.747423
1,4.698735,1.756739
2,4.703075,1.765640
3,4.706405,1.773528
4,4.714853,1.776615
5,4.719879,1.783109
6,4.727132,1.791303
7,4.783294,1.796517
8,4.801336,1.795990
9,4.839249,1.797946
10,4.869940,1.801567
11,4.891624,1.805424
12,4.909222,1.807985
13,4.912985,1.813087
14,4.922623,1.819828
15,4.924889,1.823508
16,4.945245,1.821530
17,4.972511,1.821508
18,5.032345,1.822555
19,5.059422,1.824086
20,5.047813,1.825076
21,5.042735,1.827789
22,5.039130,1.831587
23,5.030602,1.834396
24,5.025078,1.834638
25,5.018103,1.836325
26,5.013226,1.839350
27,5.006900,1.842676
28,5.002834,1.845301
29,4.997835,1.849467
30,4.989877,1.854895
31,4.982649,1.857972
32,4.977919,1.855823
33,4.978538,1.854715
34,4.976401,1.854412
35,4.978390,1.854305
36,4.975930,1.853959
37,4.979362,1.854701
38,4.976109,1.856297
39,4.979349,1.857482
40,4.980787,1.857070
41,4.997750,1.857667
42,5.033836,1.859044
43,5.056175,1.860669
44,5.066975,1.862045
45,5.062854,1.864502
46,5.057378,1.867788
47,5.051218,1.869932
48,5.047847,1.869387
49,5.045768,1.869662
50,5.040769,1.870624
51,5.036802,1.871812
52,5.032185,1.872682
53,5.027891,1.874372
54,5.024161,1.876834
55,5.021106,1.879010
56,5.016793,1.879642
57,5.012585,1.881142
58,5.008484,1.883399
59,5.004763,1.885854
60,5.001245,1.887893
61,4.997730,1.891008
62,4.994392,1.895093
63,4.990950,1.897342
64,4.988540,1.895618
65,4.985306,1.894403
66,4.982660,1.893557
67,4.980096,1.892909
68,4.977838,1.892164
69,4.975564,1.891983
70,4.973491,1.892336
71,4.971496,1.892494
72,4.970399,1.891794
73,4.971896,1.891664
74,4.974140,1.892039
75,4.972783,1.892545
76,4.970682,1.892813
77,4.968418,1.893737
78,4.970089,1.895286
79,4.973604,1.896249
80,4.972463,1.895594
81,4.970599,1.895417
82,4.968775,1.895663
83,4.967275,1.896112
84,4.965693,1.896367
85,4.964409,1.897196
86,4.962891,1.898553
87,4.961518,1.899681
88,4.960193,1.899865
89,4.959440,1.900617
90,4.958339,1.901857
91,4.957254,1.903262
92,4.956231,1.904456
93,4.955161,1.906363
94,4.954103,1.908897
95,4.952790,1.910442
96,4.951601,1.909709
97,4.952720,1.909390
98,4.951935,1.909457
99,4.951108,1.909705
