idx,prefix_request_transfer_time,prefix_proc_time_server,prefix_response_transfer_time,prefix_proc_time_server,query_request_transfer_time,query_proc_time_server,query_response_transfer_time,query_proc_time_server
0,98,70,209,224,118,8931,359,456
1,96,31,137,101,76,11323,413,380
2,122,31,154,105,107,9922,277,179
3,87,9719,21508,49787,310,863963,1382,2127
4,77,14115,26312,69427,262,1035324,1470,2013
5,91,25390,51874,117844,294,1330169,1242,2023
6,167,16849,23177,49416,218,14629286,87429,7273926
7,124,12597,27237,70834,265,15104688,91819,7201379
8,127,24462,47202,117212,241,15472678,89402,7217570
9,106,8839,19377,50341,328,29396222,263108,14966607
10,118,12983,28033,70182,275,27793199,162411,13960716
11,143,25343,52391,123334,312,28334181,173599,14089279
