epoch,timecost,bandwidthcost
0,0.009941,0.004768
25,0.010620,0.004966
50,0.010660,0.004904
75,0.011186,0.004937
100,0.011870,0.005039
125,0.012713,0.005021
150,0.013339,0.004969
175,0.014076,0.004996
200,0.014683,0.004977
225,0.015298,0.004990
250,0.015902,0.004991
275,0.016519,0.004994
300,0.017126,0.004986
325,0.017796,0.004993
350,0.018505,0.005012
375,0.019148,0.005032
400,0.019750,0.005037
425,0.020347,0.005040
450,0.020971,0.005056
475,0.021627,0.005070
500,0.022253,0.005076
525,0.022883,0.005081
550,0.023528,0.005085
575,0.024129,0.005081
600,0.024719,0.005079
625,0.025326,0.005081
650,0.025932,0.005072
675,0.026573,0.005079
700,0.027198,0.005084
725,0.027814,0.005077
750,0.028451,0.005088
775,0.029058,0.005085
800,0.029677,0.005089
825,0.030302,0.005094
850,0.030916,0.005100
875,0.031541,0.005102
900,0.032176,0.005104
925,0.032832,0.005101
950,0.033453,0.005110
975,0.034057,0.005114
1000,0.034685,0.005126
1025,0.035287,0.005135
1050,0.035935,0.005130
1075,0.036538,0.005129
1100,0.037162,0.005135
1125,0.037792,0.005133
1150,0.038423,0.005134
1175,0.039033,0.005131
1200,0.039633,0.005136
1225,0.040242,0.005136
1250,0.040851,0.005138
1275,0.041463,0.005143
1300,0.042082,0.005145
1325,0.042706,0.005148
1350,0.043320,0.005147
1375,0.043931,0.005146
1400,0.044528,0.005146
1425,0.045138,0.005148
1450,0.045751,0.005146
1475,0.046358,0.005149
1500,0.046967,0.005147
1525,0.047601,0.005152
1550,0.048205,0.005153
1575,0.048840,0.005154
1600,0.049446,0.005154
1625,0.050060,0.005157
1650,0.050675,0.005159
1675,0.051255,0.005161
1700,0.051888,0.005159
1725,0.052521,0.005163
1750,0.053151,0.005165
1775,0.053786,0.005168
1800,0.054406,0.005171
1825,0.055033,0.005174
1850,0.055643,0.005178
1875,0.056259,0.005177
1900,0.056883,0.005182
1925,0.057491,0.005181
1950,0.058989,0.005186
1975,0.503307,0.005192
2000,0.498377,0.005194
2025,0.493579,0.005195
2050,0.488911,0.005198
2075,0.484363,0.005194
2100,0.479940,0.005193
2125,0.475658,0.005192
2150,0.471449,0.005194
2175,0.467345,0.005195
2200,0.463353,0.005193
2225,0.459486,0.005192
2250,0.455723,0.005191
2275,0.452050,0.005191
2300,0.448452,0.005193
2325,0.444977,0.005193
2350,0.441582,0.005194
2375,0.438265,0.005193
2400,0.435031,0.005196
2425,0.431876,0.005197
2450,0.428797,0.005199
2475,0.425792,0.005201
