epoch,timecost,bandwidthcost
0,0.980504,1391872
1,0.922902,1357396
2,0.959535,1465616
3,0.927597,1431142
4,0.938508,1465645
5,0.945325,1467653
6,0.949675,1951701
7,0.982426,1841915
8,0.964200,1780625
9,0.975972,1698179
10,0.983572,1757679
11,1.009053,1675234
12,1.006525,1660613
13,1.007900,1614646
14,1.024198,1952653
15,1.021771,1870210
16,1.024325,1853505
17,1.050205,1807541
18,1.148337,1951825
19,1.112211,1905868
20,1.048791,1951869
21,1.050303,1954549
22,1.092658,2599921
23,1.094631,2426163
24,1.073056,2298978
25,1.108212,2152566
26,1.088256,2147101
27,1.126680,2000706
28,1.114669,1920578
29,1.132179,1810644
30,1.239742,2083694
31,1.091260,1937296
32,1.138307,1853499
33,1.097237,1807537
34,1.124146,1951822
35,1.136574,1905864
36,1.124430,1951862
37,1.125863,1954547
38,1.173035,2599950
39,1.146846,2453564
40,1.169413,2371847
41,1.174885,2261919
42,1.198247,2341246
43,1.223762,2231321
44,1.237077,2211831
45,1.236609,2150540
46,1.206493,2601213
47,1.173641,2491294
48,1.186604,2469023
49,1.182289,2407732
50,1.229696,2600115
51,1.236156,2538835
52,1.232254,2600166
53,1.260889,2603746
54,1.271134,3464178
55,1.258901,3205154
56,1.332130,2990101
57,1.275606,2758397
58,1.285460,2666332
59,1.279497,2434657
60,1.262510,2267190
61,1.276793,2071969
62,1.288602,2258412
63,1.241857,2026735
64,1.319700,1853501
65,1.291186,1807537
66,1.300041,1951821
67,1.307460,1905859
68,1.353909,1951862
69,1.322176,1954544
70,1.370114,2599950
71,1.345546,2453566
72,1.340161,2371846
73,1.351497,2261921
74,1.417928,2341244
75,1.367405,2231323
76,1.354848,2211830
77,1.407581,2150542
78,1.358009,2601215
79,1.339643,2491292
80,1.364925,2469022
81,1.353665,2407734
82,1.383988,2600114
83,1.362140,2538834
84,1.369334,2600164
85,1.357245,2603745
86,1.393855,3464242
87,1.495324,3232562
88,1.409447,3062981
89,1.383557,2867765
90,1.407797,2860479
91,1.427988,2665286
92,1.547762,2558450
93,1.415046,2411870
94,1.465378,2775930
95,1.450463,2580744
96,1.495128,2469011
97,1.479466,2407729
98,1.460348,2600103
99,1.455336,2538828
