epoch,timecost,bandwidthcost
0,1.960729,19932915
1,1.952487,19411477
2,2.042694,20980460
3,2.062885,20459013
4,2.085229,20980541
5,2.117436,20982567
6,2.383236,27958465
7,2.345309,26347395
8,2.354485,25515219
9,2.391349,24296723
10,2.398418,25167749
11,2.387396,23949181
12,2.472301,23772181
13,2.446076,23076986
14,2.673330,27959276
15,2.647760,26740588
16,2.617537,26561697
17,2.642632,25866463
18,2.705855,27958320
19,2.752458,27262546
20,2.852875,27958245
21,2.881774,27960802
22,3.222936,37262033
23,3.056722,34720974
24,3.000048,32957748
25,2.978059,30809742
26,3.113346,30750182
27,2.987014,28602069
28,2.963080,27493682
29,3.306663,25869428
30,3.131721,29821142
31,3.076350,27673064
32,3.059453,26561469
33,3.063051,25866141
34,3.134804,27958223
35,3.179191,27263039
36,3.232243,27958273
37,3.248787,27960829
38,3.604702,37262035
39,3.501732,35113968
40,3.532058,34004574
41,3.484827,32379890
42,3.612608,33541325
43,3.576105,31916655
44,3.556318,31680740
45,3.572025,30753218
46,3.796192,37263506
47,3.803855,35638821
48,3.826626,35400188
49,3.818570,34473254
50,3.919945,37262405
51,3.915658,36335326
52,3.965383,37262209
53,4.006660,37265669
54,4.397443,49667281
55,4.288306,45887219
56,4.316634,42881659
57,4.243417,39494208
58,4.293810,38194077
59,4.213201,34806563
60,4.214901,32457302
61,4.137356,29593147
62,4.261096,32304341
63,4.228193,28916801
64,4.153432,26561565
65,4.209072,25866463
66,4.270226,27958380
67,4.475330,27263102
68,4.373989,27958370
69,4.639963,27960956
70,4.744122,37261634
71,4.718433,35114129
72,4.668077,34004541
73,4.658056,32379858
74,4.695443,33541293
75,4.670679,31916497
76,4.722106,31680641
77,4.746420,30753777
78,4.993891,37263505
79,4.891090,35638758
80,4.909123,35400126
81,4.911290,34473124
82,5.002352,37262373
83,5.024028,36335421
84,5.082870,37262369
85,5.151358,37265861
86,5.504768,49667419
87,5.465836,46279781
88,5.415448,43928366
89,5.417493,41064286
90,5.442738,40984961
91,5.305897,38120912
92,5.357833,36643677
93,5.282804,34477219
94,5.473414,39746356
95,5.426893,36882179
96,5.393510,35400114
97,5.449951,34472782
98,5.526738,37262461
99,5.569156,36335506
