epoch,timecost,bandwidthcost
0,0.939306,1201617
1,0.943829,1172146
2,0.944797,1265389
3,0.942853,1235902
4,0.949930,1265422
5,0.969369,1267443
6,0.982405,1685022
7,0.980791,1590595
8,0.974063,1537199
9,0.987106,1466396
10,0.982250,1517571
11,0.987152,1446763
12,0.992587,1433805
13,0.999977,1394495
14,1.008258,1685953
15,1.010713,1615141
16,1.016039,1600096
17,1.098020,1560803
18,1.078371,1685126
19,1.038518,1645810
20,1.036311,1685169
21,1.035324,1687860
22,1.053877,2244606
23,1.053977,2095070
24,1.058580,1984642
25,1.050163,1858752
26,1.062571,1853825
27,1.063910,1727916
28,1.060844,1658317
29,1.063272,1563909
30,1.077067,1799269
31,1.073929,1673362
32,1.067457,1600094
33,1.083894,1560797
34,1.087783,1685121
35,1.095505,1645805
36,1.102544,1685164
37,1.100353,1687857
38,1.120161,2244636
39,1.127017,2118738
40,1.133702,2047538
41,1.125189,1953137
42,1.126754,2021379
43,1.129746,1926962
44,1.145135,1909681
45,1.151944,1857276
46,1.152680,2245884
47,1.171181,2151471
48,1.159911,2131408
49,1.161040,2079011
50,1.171055,2244780
51,1.175723,2192358
52,1.198203,2244841
53,1.254214,2248428
54,1.301638,2990692
55,1.224609,2767698
56,1.223979,2581216
57,1.216666,2381875
58,1.237554,2302158
59,1.225906,2102786
60,1.235931,1957661
61,1.230832,1789806
62,1.233764,1950354
63,1.232653,1750977
64,1.240933,1600093
65,1.249960,1560799
66,1.249956,1685121
67,1.250558,1645805
68,1.254777,1685165
69,1.260283,1687856
70,1.282482,2244637
71,1.269204,2118737
72,1.281932,2047536
73,1.282008,1953140
74,1.324287,2021377
75,1.297240,1926962
76,1.289729,1909683
77,1.305247,1857276
78,1.318497,2245881
79,1.332097,2151471
80,1.329600,2131410
81,1.331926,2079013
82,1.341355,2244782
83,1.333864,2192357
84,1.348888,2244838
85,1.346781,2248431
86,1.389469,2990750
87,1.364375,2791363
88,1.381286,2644131
89,1.365333,2476285
90,1.370669,2469715
91,1.371841,2301829
92,1.375649,2209028
93,1.381438,2083159
94,1.384031,2396973
95,1.384909,2229093
96,1.378788,2131397
97,1.396253,2079003
98,1.400821,2244774
99,1.408226,2192348
