epoch,timecost,bandwidthcost
0,2.852606,38155461
1,2.880058,37154902
2,3.056212,40160782
3,3.043428,39160149
4,3.106629,40160758
5,3.170594,40162547
6,3.593195,53523893
7,3.538855,50435762
8,3.590563,48845957
9,3.553843,46509744
10,3.667270,48179366
11,3.702965,45842430
12,3.658266,45506798
13,3.672951,44172605
14,3.986635,53524860
15,4.028526,51188484
16,4.048608,50850369
17,3.975220,49516375
18,4.151669,53524165
19,4.168303,52189908
20,4.268060,53524014
21,4.327334,53526303
22,4.974975,71340918
23,4.842181,66472421
24,4.753763,63099774
25,4.659765,58982430
26,4.669626,58870189
27,4.689013,54752835
28,4.617534,52634468
29,4.591889,49519375
30,4.879881,57089995
31,4.799738,52972493
32,4.749002,50850367
33,4.791189,49516178
34,4.936578,53523968
35,4.971185,52189777
36,5.000043,53523782
37,5.071649,53525949
38,5.618738,71340981
39,5.596008,67223614
40,5.555105,65103520
41,5.499361,61988497
42,5.653328,64214605
43,5.596504,61099665
44,5.647117,60651462
45,5.645106,58872628
46,6.481823,71342439
47,6.197425,68227187
48,6.103223,67775778
49,6.151631,65997378
50,6.282189,71341036
51,6.397431,69561702
52,6.358136,71341030
53,6.415238,71343856
54,7.210314,95097262
55,7.074767,87853628
56,6.968557,82104087
57,6.877771,75612173
58,6.805658,73124242
59,6.852896,66632350
60,6.571613,62137746
61,6.481461,56647957
62,6.800786,61842342
63,6.602782,55350822
64,6.695421,50850365
65,6.547316,49516207
66,6.712694,53524000
67,6.821246,52189842
68,6.893043,53524164
69,6.974163,53526334
70,7.464726,71341365
71,7.452319,67224095
72,7.395934,65104162
73,7.448139,61988482
74,7.405768,64214990
75,7.319784,61099889
76,7.411624,60651717
77,7.401222,58872911
78,7.944521,71342565
79,7.828840,68227535
80,7.775209,67776498
81,7.750357,65997636
82,8.101493,71341357
83,8.029049,69562549
84,8.031687,71340822
85,8.225337,71344177
86,8.851676,95097590
87,8.722664,88605524
88,8.758569,84108561
89,8.589113,78618707
90,8.641687,78468802
91,8.599677,72979532
92,8.517931,70154870
93,8.519019,66001407
94,8.897062,76095570
95,9.439908,70605904
96,8.919679,67776486
97,11.679370,65997790
98,12.966549,71341636
99,13.047000,69562834
