epoch,timecost,bandwidthcost
0,0.997314,1391874
1,1.008389,1357396
2,1.005933,1465614
3,1.045927,1431141
4,1.025140,1465643
5,1.039946,1467654
6,1.036002,1951704
7,1.073383,1841915
8,1.070446,1780625
9,1.052502,1698181
10,1.077502,1757679
11,1.085893,1675233
12,1.079565,1660611
13,1.098148,1614645
14,1.071930,1952653
15,1.129803,1870209
16,1.087940,1853507
17,1.092374,1807542
18,1.085209,1951823
19,1.091732,1905870
20,1.086207,1951867
21,1.123166,1954550
22,1.163915,2599922
23,1.141247,2426165
24,1.133553,2298977
25,1.130003,2152565
26,1.160028,2147103
27,1.148215,2000704
28,1.145513,1920578
29,1.144235,1810643
30,1.167340,2083693
31,1.163219,1937297
32,1.190831,1853501
33,1.168318,1807536
34,1.148395,1951822
35,1.175942,1905861
36,1.186595,1951863
37,1.247735,1954545
38,1.236771,2599950
39,1.248186,2453567
40,1.238853,2371842
41,1.219429,2261922
42,1.207448,2341248
43,1.216503,2231324
44,1.237659,2211831
45,1.237326,2150542
46,1.250638,2601213
47,1.248068,2491291
48,1.255135,2469022
49,1.275362,2407733
50,1.279527,2600112
51,1.280567,2538832
52,1.303892,2600163
53,1.366381,2603745
54,1.344299,3464180
55,1.356046,3205150
56,1.373621,2990100
57,1.420054,2758396
58,1.412631,2666331
59,1.386135,2434656
60,1.392195,2267188
61,1.400755,2071968
62,1.387893,2258413
63,1.377088,2026733
64,1.389191,1853503
65,1.405317,1807538
66,1.410056,1951820
67,1.409093,1905862
68,1.421708,1951857
69,1.419704,1954546
70,1.431488,2599950
71,1.420084,2453565
72,1.452224,2371845
73,1.444038,2261922
74,1.585402,2341245
75,1.647626,2231325
76,1.477584,2211827
77,1.470799,2150540
78,1.520056,2601213
79,1.493131,2491295
80,1.641621,2469020
81,1.715152,2407733
82,1.687383,2600114
83,1.783775,2538834
84,1.597783,2600165
85,1.553902,2603745
86,1.596316,3464241
87,1.668611,3232564
88,1.587050,3062983
89,1.664971,2867766
90,1.558963,2860477
91,1.620644,2665285
92,1.716354,2558449
93,1.646961,2411872
94,1.602244,2775931
95,1.617654,2580743
96,1.632857,2469009
97,1.677481,2407729
98,1.678081,2600102
99,1.730399,2538831
