epoch,timecost,bandwidthcost
0,3.664884,35142260
1,3.844057,34221441
2,3.870019,36989238
3,3.364975,36068173
4,3.324808,36989216
5,3.485003,36991157
6,4.377730,49295296
7,4.416188,46452021
8,4.101099,44987093
9,3.721630,42836199
10,3.664612,44373121
11,3.796958,42222015
12,3.765913,41911843
13,4.072043,40683858
14,4.589909,49296080
15,4.505881,47145121
16,4.424749,46832941
17,4.379641,45604917
18,4.407011,49295275
19,4.257155,48067323
20,4.390583,49295381
21,4.486301,49297987
22,6.657822,65703538
23,6.948406,61220209
24,5.162049,58113365
25,4.757747,54322397
26,4.788790,54218562
27,4.949978,50427569
28,5.096478,48475915
29,5.153535,45607730
30,5.362936,52578869
31,5.482726,48787971
32,5.082623,46832805
33,5.193128,45604816
34,5.668088,49295172
35,5.845371,48067028
36,5.577881,49295025
37,5.312804,49297695
38,6.011382,65703312
39,6.241050,61912546
40,5.930765,59959491
41,5.803359,57090910
42,6.033903,59140839
43,6.209726,56272751
44,6.505483,55859325
45,6.211195,54222064
46,6.256963,65704883
47,6.225532,62836735
48,6.366539,62420562
49,7.079009,60783170
50,7.326857,65703086
51,6.854555,64066115
52,6.850606,65703503
53,7.071002,65707206
54,7.706135,87581054
55,7.250367,80911169
56,7.285132,75615268
57,8.251689,69637734
58,7.522767,67345909
59,6.930459,61368159
60,6.913521,57228110
61,6.969049,52173534
62,6.962316,56956774
63,7.332552,50979140
64,7.268943,46833156
65,7.228896,45605168
66,7.448495,49295493
67,7.913611,48067413
68,7.393146,49295504
69,7.585534,49298206
70,7.759897,65703696
71,7.782653,61912771
72,7.530409,59959424
73,8.051152,57091373
74,8.027760,59140837
75,8.143184,56272659
76,7.939304,55859294
77,7.831835,54221809
78,9.436463,65704559
79,8.806190,62836539
80,8.109049,62420304
81,8.480777,60782945
82,8.398044,65703581
83,8.337843,64066150
84,9.283820,65703564
85,9.450418,65706982
86,9.777642,87580837
87,9.589919,81603453
88,9.103591,77460961
89,8.941653,72406301
90,9.735930,72267833
91,8.913861,67213054
92,9.297877,64610972
93,8.960934,60786982
94,9.431969,70081901
95,9.551610,65027461
96,9.442325,62420462
97,9.441070,60783005
98,10.809707,65703573
99,9.793760,64066145
