epoch,timecost,bandwidthcost
0,1.001247,1201617
1,1.015197,1172145
2,1.020507,1265389
3,1.012086,1235902
4,1.025857,1265421
5,1.018808,1267441
6,1.025000,1685021
7,1.032381,1590594
8,1.049863,1537198
9,1.052325,1466398
10,1.049841,1517574
11,1.057110,1446764
12,1.067281,1433806
13,1.065602,1394498
14,1.080416,1685953
15,1.084195,1615142
16,1.083778,1600097
17,1.099303,1560802
18,1.096021,1685125
19,1.105518,1645810
20,1.107391,1685170
21,1.120027,1687859
22,1.136935,2244605
23,1.131470,2095067
24,1.152365,1984640
25,1.132477,1858754
26,1.133204,1853825
27,1.128703,1727918
28,1.124717,1658318
29,1.140409,1563908
30,1.138931,1799270
31,1.131773,1673360
32,1.141028,1600092
33,1.166068,1560799
34,1.177798,1685121
35,1.179042,1645806
36,1.169138,1685164
37,1.247023,1687858
38,1.210665,2244638
39,1.511147,2118736
40,1.626281,2047538
41,1.749165,1953137
42,1.595552,2021377
43,1.572366,1926960
44,1.575342,1909683
45,1.600203,1857277
46,1.393757,2245885
47,1.357560,2151471
48,1.317977,2131409
49,1.282562,2079013
50,1.294732,2244781
51,1.246299,2192356
52,1.266055,2244837
53,1.281069,2248431
54,1.295842,2990693
55,1.382300,2767701
56,1.326845,2581215
57,1.391037,2381873
58,1.386742,2302161
59,1.396960,2102785
60,1.510148,1957663
61,1.484433,1789805
62,1.514978,1950352
63,1.523921,1750978
64,1.461298,1600092
65,1.383646,1560796
66,1.354355,1685120
67,1.343353,1645806
68,1.322516,1685163
69,1.312842,1687859
70,1.349686,2244637
71,1.351137,2118737
72,1.571463,2047539
73,1.627217,1953138
74,1.698496,2021380
75,1.658501,1926960
76,1.685959,1909681
77,1.683607,1857277
78,1.586005,2245885
79,1.497272,2151469
80,1.469812,2131408
81,1.432378,2079017
82,1.419252,2244784
83,1.410187,2192357
84,1.419980,2244838
85,1.428492,2248428
86,1.462484,2990751
87,1.456695,2791366
88,1.466156,2644135
89,1.448434,2476286
90,1.471329,2469713
91,1.534835,2301831
92,1.562861,2209029
93,1.570823,2083157
94,1.573122,2396972
95,1.540994,2229095
96,1.498900,2131398
97,1.496730,2079005
98,1.516681,2244775
99,1.484917,2192347
