epoch,timecost,bandwidthcost
0,2.835328,33805590
1,3.334299,32919485
2,3.931235,35582150
3,3.828312,34696060
4,3.475103,35582275
5,3.207334,35583950
6,3.805205,47419837
7,4.295474,44684584
8,4.984864,43275663
9,4.950350,41206368
10,4.646752,42685251
11,4.122617,40615773
12,4.866950,40317686
13,4.738916,39135963
14,4.551335,47420347
15,4.079457,45350945
16,4.074411,45050862
17,4.434729,43869297
18,4.910109,47419437
19,4.827497,46237790
20,4.445276,47419233
21,4.431463,47421477
22,5.050258,63202548
23,4.989354,58889815
24,5.003802,55901602
25,4.811152,52254246
26,4.798346,52155168
27,4.757489,48508224
28,4.793672,46631329
29,5.127811,43872206
30,5.811447,50578357
31,5.260027,46931426
32,4.830426,45050883
33,4.854693,43869326
34,5.033136,47419558
35,5.191602,46237879
36,5.204465,47419022
37,5.596190,47421601
38,6.361124,63202595
39,5.856440,59555603
40,5.666350,57677172
41,5.646496,54917981
42,5.708714,56889793
43,6.104872,54130576
44,5.959564,53733391
45,6.221606,52157968
46,6.157174,63203827
47,6.700675,60444796
48,6.607703,60044742
49,6.255586,58469362
50,6.607816,63202845
51,6.596759,61627365
52,6.547175,63202855
53,6.575911,63205731
54,7.352673,84246977
55,7.139104,77830659
56,6.958832,72736851
57,7.326581,66986350
58,6.980255,64782476
59,6.950547,59032063
60,6.889567,55049974
61,6.855447,50187309
62,7.047495,54788862
63,7.023851,49038465
64,6.698698,45050758
65,6.808452,43869357
66,7.135818,47419429
67,7.205454,46237845
68,7.282334,47419390
69,7.123320,47421507
70,7.940823,63202693
71,7.541224,59555733
72,7.610989,57677363
73,7.533795,54918235
74,7.802295,56889985
75,7.946163,54130673
76,7.882393,53733421
77,7.906588,52158097
78,7.973133,63203953
79,8.150933,60444893
80,8.236714,60044774
81,8.209306,58469026
82,8.288494,63202941
83,8.557680,61627399
84,8.644528,63202294
85,8.723128,63205761
86,9.448121,84247089
87,9.130568,78496654
88,9.126885,74512465
89,9.190037,69649795
90,9.541734,69517188
91,9.013383,64654491
92,9.014128,62152006
93,8.839128,58473127
94,9.452189,67414549
95,9.393900,62551902
96,9.258126,60044641
97,9.760666,58469159
98,9.291494,63202646
99,9.368544,61626706
