window size,timecost,bandwidthcost
1,0.123946,200998
2,0.235044,393698
3,0.350319,589374
4,0.480217,782062
5,0.540699,979350
6,0.674434,1172038
7,0.783312,1367718
8,0.857952,1560398
9,0.983531,1758886
10,1.167363,1951582
11,1.224003,2147254
12,1.350371,2339938
13,1.571578,2537234
14,1.768334,2729922
15,1.695238,2925602
16,1.830591,3118278
17,1.952968,3317846
18,2.012395,3510546
19,2.213094,3706222
20,2.420844,3898910
21,2.507860,4096198
22,2.455468,4288886
23,2.502233,4484566
24,2.621741,4677246
25,2.726067,4758998
